cve,count,cvss3_score,epss_score
CVE-2023-1389,9827,8.8,0.93874
CVE-2017-9841,2304,9.8,0.99972
CVE-2022-24847,2293,7.2,0.40609
CVE-2022-22947,1686,10.0,0.99972
CVE-2020-11625,1344,5.3,0.46926
CVE-2022-42475,1135,9.8,0.97205
CVE-2020-8958,772,7.2,0.98195
CVE-2022-41040/CVE-2021-34473,595,9.8,0.99637
CVE-2019-9082,446,8.8,0.99952
CVE-2021-28481,432,9.8,0.92372
CVE-2020-0618,352,8.8,0.99876
CVE-2018-0296,322,7.5,0.99925
CVE-2018-10561,315,9.8,0.9977
CVE-2021-44228,282,10.0,0.99998
CVE-2021-26855,274,9.8,0.99979
CVE-2021-3129,244,9.8,0.99956
CVE-2014-2908,224,NA,n/a
Citrix XML Buffer Overflow,220,NA,n/a
CVE-2022-47945,213,9.8,0.92145
CVE-2021-26084,132,9.8,0.99949
CVE-2019-18935,124,9.8,0.98991
CVE-2021-40539,124,9.8,0.99981
CVE-2018-13379,98,9.8,0.99895
NETGEAR-MOZI,97,NA,n/a
CVE-2021-26086,86,5.3,0.98852
CVE-2017-1000226,77,5.3,0.39713
CVE-2019-1653,61,7.5,0.99999
2018 JAWS Web Server Vuln,57,NA,n/a
CVE-2020-25506,46,9.8,0.99914
CVE-2017-12149,24,9.8,0.99818
CVE-2014-2321,15,NA,n/a
CVE-2017-18368,14,9.8,0.99986
CVE-2020-24949,14,8.8,0.99184
CVE-2018-9995,11,9.8,0.98782
CVE-2019-12725,11,9.8,0.99544
CVE-2017-10271,10,7.5,0.99937
CVE-2007-3010,9,NA,n/a
CVE-2014-6287,8,9.8,n/a
CVE-2022-26134,8,9.8,0.99991
CVE-2020-28188,7,9.8,0.99863
CVE-2020-5902,7,9.8,0.99999
CVE-2020-9757,7,9.8,0.99529
CVE-2015-4074,5,7.5,n/a
CVE-2015-8813,5,8.2,n/a
CVE-2014-9792,4,7.8,n/a
CVE-2020-7961,4,9.8,0.99963
CVE-2021-21985,4,9.8,0.99902
CVE-2021-29203,4,9.8,0.99383
CVE-2022-40684,4,9.8,0.99793
CVE-2017-0929,3,7.5,0.80923
CVE-2017-11511,3,7.5,0.97027
CVE-2017-11512,3,7.5,0.99811
CVE-2017-17731,3,9.8,0.90031
CVE-2018-17246,3,9.8,0.99534
CVE-2018-7600,3,9.8,1
CVE-2022-22965,3,9.8,0.9997
CVE-2018-1000600,2,8.8,0.99107
CVE-2019-2588,2,4.9,0.9612
CVE-2019-2767,2,7.2,0.95789
CVE-2020-17496,2,9.8,0.99956
CVE-2020-25213,2,9.8,0.99915
CVE-2020-3452,2,7.5,0.9997
CVE-2020-7796,2,9.8,0.98019
CVE-2021-23394,2,9.8,0.87435
CVE-2021-25003,2,9.8,0.97664
CVE-2021-25369,2,6.2,0.45482
CVE-2021-27065,2,7.8,0.99539
CVE-2021-32172,2,9.8,0.96889
CVE-2021-33357,2,9.8,0.99646
CVE-2022-0885,2,9.8,0.96833
CVE-2022-1040,2,9.8,0.99943
CVE-2022-21587,2,9.8,0.999
CVE-2023-25157,2,9.8,0.97742
CVE-2018-20062,1,9.8,0.9964
CVE-2018-20463,1,7.5,0.90996
CVE-2019-12987,1,9.8,0.99852
CVE-2019-12988,1,9.8,0.99852
CVE-2019-2725,1,9.8,1
CVE-2019-9670,1,9.8,0.99979
CVE-2020-25078,1,7.5,0.98392
CVE-2021-31589,1,6.1,0.68595
CVE-2005-3128,0,NA,n/a
CVE-2008-2052,0,NA,n/a
CVE-2008-6668,0,NA,n/a
CVE-2009-1872,0,NA,n/a
CVE-2011-4926,0,NA,n/a
CVE-2012-1823,0,NA,n/a
CVE-2012-4940,0,NA,n/a
CVE-2013-6397,0,NA,n/a
CVE-2014-4535,0,6.1,n/a
CVE-2015-3897,0,NA,n/a
CVE-2016-1000149,0,6.1,0.45745
CVE-2016-4945,0,6.1,0.58122
CVE-2017-9506,0,6.1,0.7783
CVE-2018-18775,0,6.1,0.5101
CVE-2018-7700,0,8.8,0.9752
CVE-2019-16057,0,9.8,0.99987
CVE-2019-8982,0,9.8,0.88114
CVE-2020-0688,0,8.8,0.99801
CVE-2020-13167,0,9.8,0.99942
CVE-2020-15505,0,9.8,0.9999
CVE-2020-17453,0,6.1,0.82047
CVE-2020-17505,0,8.8,0.99451
CVE-2020-17506,0,9.8,0.99304
CVE-2020-22211,0,9.8,0.96022
CVE-2020-27982,0,6.1,0.64945
CVE-2020-9344,0,6.1,0.58261
CVE-2021-20167,0,8.0,0.99261
CVE-2021-21315,0,7.8,0.99836
CVE-2021-21801,0,6.1,0.98383
CVE-2021-33564,0,9.8,0.94425
CVE-2021-3577,0,8.8,0.99411
CVE-2021-38702,0,6.1,0.83956
CVE-2021-41277,0,10.0,0.99382
CVE-2022-0653,0,6.1,0.58375
CVE-2022-22954,0,9.8,0.99955
CVE-2022-35914,0,9.8,0.9991
CVE-2022-40734,0,6.5,0.93863
CVE-2023-25651,0,8.0,0.05325
